fips,state,rpl_themes,e_pop
12123,FLORIDA,0.8984,22098
12125,FLORIDA,0.8382,15239
12127,FLORIDA,0.5347,527634
12129,FLORIDA,0.4032,31877
12131,FLORIDA,0.5822,65858
12133,FLORIDA,0.8939,24566
13001,GEORGIA,0.9669,18454
13003,GEORGIA,0.9615,8265
13005,GEORGIA,0.9389,11228
13007,GEORGIA,0.7424,3189
13009,GEORGIA,0.8666,45286
13011,GEORGIA,0.5586,18510
13013,GEORGIA,0.4204,76887
13015,GEORGIA,0.5914,103620
13017,GEORGIA,0.8726,17154
13019,GEORGIA,0.85,19025
13021,GEORGIA,0.9175,153490
13023,GEORGIA,0.7395,12775
13025,GEORGIA,0.6229,18561
13027,GEORGIA,0.8398,15622
13029,GEORGIA,0.3389,35885
13031,GEORGIA,0.8121,74782
13033,GEORGIA,0.8455,22550
13035,GEORGIA,0.7653,23750
13037,GEORGIA,0.9774,6428
13039,GEORGIA,0.5159,52714
13043,GEORGIA,0.9828,10827
13045,GEORGIA,0.7825,116022
13047,GEORGIA,0.1318,66299
13049,GEORGIA,0.8752,12983
13051,GEORGIA,0.6949,287049
13053,GEORGIA,0.6379,10767
13055,GEORGIA,0.9252,24817
13057,GEORGIA,0.1185,241910
13059,GEORGIA,0.7675,124602
13061,GEORGIA,0.9309,3001
13063,GEORGIA,0.9102,278666
13065,GEORGIA,0.9777,6743
13067,GEORGIA,0.2669,745057
13069,GEORGIA,0.9506,42961
13071,GEORGIA,0.9812,45606
13073,GEORGIA,0.1334,147295
13075,GEORGIA,0.851,17184
13077,GEORGIA,0.2427,140516
13079,GEORGIA,0.6815,12344
13081,GEORGIA,0.9857,22846
13083,GEORGIA,0.5156,16227
13085,GEORGIA,0.1038,23861
13087,GEORGIA,0.9455,26833
13089,GEORGIA,0.6611,743187
13091,GEORGIA,0.9223,20919
13093,GEORGIA,0.9484,13905
13095,GEORGIA,0.9513,91049
13097,GEORGIA,0.5404,141840
13099,GEORGIA,0.9201,10348
13101,GEORGIA,0.6615,3994
13103,GEORGIA,0.2363,58689
13105,GEORGIA,0.8338,19212
13107,GEORGIA,0.9768,22499
13109,GEORGIA,0.9847,10727
13111,GEORGIA,0.3003,24925
13113,GEORGIA,0.0608,111369
13115,GEORGIA,0.8854,96824
13117,GEORGIA,0.0373,219880
13119,GEORGIA,0.8462,22514
13121,GEORGIA,0.5268,1021902
13123,GEORGIA,0.5599,29922
13125,GEORGIA,0.686,3009
13127,GEORGIA,0.7159,83974
13129,GEORGIA,0.8806,56790
13131,GEORGIA,0.9258,24926
13133,GEORGIA,0.5379,16976
13135,GEORGIA,0.4347,902298
13137,GEORGIA,0.7146,44289
13139,GEORGIA,0.6618,195961
13141,GEORGIA,0.7984,8535
13143,GEORGIA,0.5427,28956
13145,GEORGIA,0.1341,33590
13147,GEORGIA,0.7194,25631
13149,GEORGIA,0.7232,11677
13151,GEORGIA,0.3137,221307
13153,GEORGIA,0.5669,151682
13155,GEORGIA,0.8408,9268
13157,GEORGIA,0.3516,65755
13159,GEORGIA,0.6927,13784
13161,GEORGIA,0.9373,14991
13163,GEORGIA,0.9439,15772
13165,GEORGIA,0.8283,8827
13167,GEORGIA,0.9061,9730
13169,GEORGIA,0.3793,28548
13171,GEORGIA,0.4917,18513
13173,GEORGIA,0.8697,10366
13175,GEORGIA,0.8013,47418
13177,GEORGIA,0.3519,29348
13179,GEORGIA,0.8882,62108
13181,GEORGIA,0.5564,7799
13183,GEORGIA,0.8271,18156
13185,GEORGIA,0.8662,114582
13187,GEORGIA,0.4338,31951
13189,GEORGIA,0.9376,21498
13191,GEORGIA,0.5863,14120
13193,GEORGIA,0.9312,13480
13195,GEORGIA,0.6417,28900
13197,GEORGIA,0.8519,8484
13199,GEORGIA,0.8701,21113
13201,GEORGIA,0.7799,5836
13205,GEORGIA,0.9879,22432
13207,GEORGIA,0.4596,27010
13209,GEORGIA,0.8465,9036
13211,GEORGIA,0.2446,18235
13213,GEORGIA,0.7134,39557
13215,GEORGIA,0.9003,196670
13217,GEORGIA,0.707,106497
13219,GEORGIA,0.0354,37017
13221,GEORGIA,0.5217,14784
13223,GEORGIA,0.1376,155840
13225,GEORGIA,0.9404,26966
13227,GEORGIA,0.2796,30832
13229,GEORGIA,0.657,19164
